addr	type	name	size
0x2075de	FUNC	ASP_VMX_RestoreConstantHostState...2Fhome.2Fmal.2Fgm_release.2FMY22.2D026.2Ffinal.2Fiot.2Frtos.2Flibs.2Fgm.2Di35.2Frel.2Fwork.2Flibkernel.2Flibkernel.2F86_x64_vmx.	79
0x20762d	FUNC	ASP_RunGuestVM	1103
0x207a7c	FUNC	ASP_InjectInterruptInVCpu	15
0x207a8b	FUNC	ASP_GetTaskTokenFromTaskLink	51
0x207abe	FUNC	ASP_VMX_PostInterrupt	69
0x207b03	FUNC	VMM_PMIHandler	127
0x207b82	FUNC	VMM_IpiHandler	46
0x207bb0	FUNC	VMX_FatalConfigError...2Fhome.2Fmal.2Fgm_release.2FMY22.2D026.2Ffinal.2Fiot.2Frtos.2Flibs.2Fgm.2Di35.2Frel.2Fwork.2Flibkernel.2Flibkernel.2F86_x64_vmx.	5
0x207bb5	FUNC	IsVMXSupported...2Fhome.2Fmal.2Fgm_release.2FMY22.2D026.2Ffinal.2Fiot.2Frtos.2Flibs.2Fgm.2Di35.2Frel.2Fwork.2Flibkernel.2Flibkernel.2F86_x64_vmx.	32
0x207bd5	FUNC	ASP_VMX_InitializeOnBootCpu	323
0x207d18	FUNC	ASP_VMX_ConcurrentEnable	115
0x207d8b	FUNC	ASP_GetClockForVCpuTask	47
0x207dba	FUNC	ASP_ResetVCpu	173
0x207e67	FUNC	ASP_GetVCpuNumberFromTaskContext	7
0x207e6e	FUNC	ASP_VMM_DoVMExitReads	704
0x208130	FUNC	CpuInvalidateEpt	48
0x208160	FUNC	CpuInvalidateVpid	55
0x2081a0	FUNC	CpuClearVMCS	15
0x2081b0	FUNC	CpuVMXOn	15
0x2081c0	FUNC	CpuVMXOff	4
0x2081d0	FUNC	CpuLoadVMCS	14
0x2081e0	FUNC	CpuGetVMXHostSelectors	72
0x208230	FUNC	CpuSaveVMXHostState	123
0x2082b0	FUNC	CpuRestoreVMXHostState	84
0x208310	FUNC	CpuSaveVMXGuestState	64
0x208350	FUNC	CpuRestoreVMXGuestState	192
0x208410	FUNC	CpuEnterVM	193
0x2084e0	FUNC	CpuHaltForVMX	3
0x2084e4	FUNC	VMM_GetObject	45
0x208511	FUNC	VMM_InitKernelAlias...2Fhome.2Fmal.2Fgm_release.2FMY22.2D026.2Ffinal.2Fiot.2Frtos.2Flibs.2Fgm.2Di35.2Frel.2Fwork.2Flibkernel.2Flibkernel.2Fvmm.	141
0x20859e	FUNC	VMM_InitVMDomain	59
0x2085d9	FUNC	VMM_RecordMapping	149
0x20866e	FUNC	VMM_InitVCpu	19
0x208681	FUNC	VMM_CreateVCpuClock	195
0x208744	FUNC	VMM_AllocateContiguousMemory	94
0x2087a2	FUNC	VMM_UnpendVCpu...2Fhome.2Fmal.2Fgm_release.2FMY22.2D026.2Ffinal.2Fiot.2Frtos.2Flibs.2Fgm.2Di35.2Frel.2Fwork.2Flibkernel.2Flibkernel.2Fvmm.	25
0x2087bb	FUNC	ReadGuestMemory...2Fhome.2Fmal.2Fgm_release.2FMY22.2D026.2Ffinal.2Fiot.2Frtos.2Flibs.2Fgm.2Di35.2Frel.2Fwork.2Flibkernel.2Flibkernel.2Fvmm.	442
0x208975	FUNC	WriteGuestMemory...2Fhome.2Fmal.2Fgm_release.2FMY22.2D026.2Ffinal.2Fiot.2Frtos.2Flibs.2Fgm.2Di35.2Frel.2Fwork.2Flibkernel.2Flibkernel.2Fvmm.	401
0x208b06	FUNC	VMM_FlushCache...2Fhome.2Fmal.2Fgm_release.2FMY22.2D026.2Ffinal.2Fiot.2Frtos.2Flibs.2Fgm.2Di35.2Frel.2Fwork.2Flibkernel.2Flibkernel.2Fvmm.	99
0x208b69	FUNC	CachedTranslatedAddress	116
0x208bdd	FUNC	VMM_SetVirtioBufferAddr	27
0x208bf8	FUNC	HandleGuestVaddrCmd...2Fhome.2Fmal.2Fgm_release.2FMY22.2D026.2Ffinal.2Fiot.2Frtos.2Flibs.2Fgm.2Di35.2Frel.2Fwork.2Flibkernel.2Flibkernel.2Fvmm.	296
0x208d20	FUNC	HandleBlkInOut...2Fhome.2Fmal.2Fgm_release.2FMY22.2D026.2Ffinal.2Fiot.2Frtos.2Flibs.2Fgm.2Di35.2Frel.2Fwork.2Flibkernel.2Flibkernel.2Fvmm.	725
0x208ff5	FUNC	HandleBlkFlush...2Fhome.2Fmal.2Fgm_release.2FMY22.2D026.2Ffinal.2Fiot.2Frtos.2Flibs.2Fgm.2Di35.2Frel.2Fwork.2Flibkernel.2Flibkernel.2Fvmm.	136
0x20907d	FUNC	HandleBlkDiscard...2Fhome.2Fmal.2Fgm_release.2FMY22.2D026.2Ffinal.2Fiot.2Frtos.2Flibs.2Fgm.2Di35.2Frel.2Fwork.2Flibkernel.2Flibkernel.2Fvmm.	522
0x209287	FUNC	HandleBlkTrim...2Fhome.2Fmal.2Fgm_release.2FMY22.2D026.2Ffinal.2Fiot.2Frtos.2Flibs.2Fgm.2Di35.2Frel.2Fwork.2Flibkernel.2Flibkernel.2Fvmm.	243
